CLASSE K
MOV -1 -1
MOV -1 0
MOV -1 1
MOV 0 -1
MOV 0 1
MOV 1 -1
MOV 1 0
MOV 1 1
CLASSE T
MOV -1 0
MOV -2 0
MOV -3 0
MOV -4 0
MOV -5 0
MOV -6 0
MOV -7 0
MOV 0 -1
MOV 0 -2
MOV 0 -3
MOV 0 -4
MOV 0 -5
MOV 0 -6
MOV 0 -7
MOV 0 1 
MOV 0 2 
MOV 0 3 
MOV 0 4 
MOV 0 5 
MOV 0 6 
MOV 0 7 
MOV 1 0
MOV 2 0
MOV 3 0
MOV 4 0
MOV 5 0
MOV 6 0
MOV 7 0
CLASSE B
MOV -1 -1
MOV -2 -2
MOV -3 -3
MOV -4 -4
MOV -5 -5
MOV -6 -6
MOV -7 -7
MOV 1 1
MOV 2 2
MOV 3 3
MOV 4 4
MOV 5 5
MOV 6 6
MOV 7 7
MOV 1 -1
MOV 2 -2
MOV 3 -3
MOV 4 -4
MOV 5 -5
MOV 6 -6
MOV 7 -7
MOV -1 1
MOV -2 2
MOV -3 3
MOV -4 4
MOV -5 5
MOV -6 6
MOV -7 7
CLASSE Q
MOV -1 0
MOV -2 0
MOV -3 0
MOV -4 0
MOV -5 0
MOV -6 0
MOV -7 0
MOV 0 -1
MOV 0 -2
MOV 0 -3
MOV 0 -4
MOV 0 -5
MOV 0 -6
MOV 0 -7
MOV 0 1 
MOV 0 2 
MOV 0 3 
MOV 0 4 
MOV 0 5 
MOV 0 6 
MOV 0 7 
MOV 1 0
MOV 2 0
MOV 3 0
MOV 4 0
MOV 5 0
MOV 6 0
MOV 7 0
MOV -1 -1
MOV -2 -2
MOV -3 -3
MOV -4 -4
MOV -5 -5
MOV -6 -6
MOV -7 -7
MOV 1 1
MOV 2 2
MOV 3 3
MOV 4 4
MOV 5 5
MOV 6 6
MOV 7 7
MOV 1 -1
MOV 2 -2
MOV 3 -3
MOV 4 -4
MOV 5 -5
MOV 6 -6
MOV 7 -7
MOV -1 1
MOV -2 2
MOV -3 3
MOV -4 4
MOV -5 5
MOV -6 6
MOV -7 7
CLASSE H
MOV 1 2
MOV 1 -2
MOV 2 1
MOV 2 -1
MOV -1 2
MOV -1 -2
MOV -2 1
MOV -2 -1
